price,volume,hour,date,side
204199.34,0.00711028,0,2019-09-10,sell
203599.21,0.02668213,0,2019-09-10,buy
202203.37,0.00500000,0,2019-09-10,buy
202235.42,0.02471577,0,2019-09-10,sell
202235.42,0.00032300,0,2019-09-10,sell
202200.07,0.00125222,0,2019-09-10,buy
202200.07,0.00025000,0,2019-09-10,buy
202200.09,0.00500000,0,2019-09-10,buy
203300.00,0.00067902,0,2019-09-10,sell
202235.42,0.01932098,0,2019-09-10,sell
203300.00,0.00423982,0,2019-09-10,sell
203799.45,0.00291730,0,2019-09-10,sell
202224.26,0.00044797,0,2019-09-10,buy
203708.93,0.00003191,0,2019-09-10,sell
203000.00,0.00143498,0,2019-09-10,sell
202242.62,0.00572345,0,2019-09-10,buy
203000.00,0.00024631,0,2019-09-10,sell
202242.57,0.00098900,0,2019-09-10,buy
203000.00,0.00444562,0,2019-09-10,sell
202999.00,0.00300000,0,2019-09-10,buy
203709.01,0.00178406,0,2019-09-10,sell
203000.00,0.00067276,0,2019-09-10,sell
202999.00,0.00147853,0,2019-09-10,buy
202999.00,0.01500000,0,2019-09-10,buy
203500.00,0.02329500,0,2019-09-10,buy
203500.00,0.00800000,0,2019-09-10,buy
203500.00,0.00218489,0,2019-09-10,buy
203500.00,0.00393280,0,2019-09-10,buy
203500.00,0.00460175,0,2019-09-10,buy
203709.01,0.00238330,0,2019-09-10,sell
203708.89,0.00629498,0,2019-09-10,sell
203708.90,0.01133097,0,2019-09-10,sell
203708.92,0.00237405,0,2019-09-10,sell
203500.00,0.01337922,0,2019-09-10,buy
203500.00,0.00057919,0,2019-09-10,buy
203500.00,0.00790922,0,2019-09-10,buy
202999.00,0.00043566,0,2019-09-10,buy
202500.02,0.00155615,0,2019-09-10,buy
203708.16,0.00736348,0,2019-09-10,sell
202800.00,0.00496323,0,2019-09-10,buy
202800.00,0.00004964,0,2019-09-10,buy
202801.27,0.00334555,0,2019-09-10,buy
202801.27,0.00049800,0,2019-09-10,sell
203707.77,0.00471565,0,2019-09-10,sell
202801.54,0.01437493,0,2019-09-10,buy
203707.77,0.00011181,0,2019-09-10,buy
202801.54,0.09677637,0,2019-09-10,buy
203709.01,0.00049800,0,2019-09-10,sell
202810.00,0.00193570,0,2019-09-10,buy
202812.23,0.01991120,0,2019-09-10,buy
203709.01,0.00490896,0,2019-09-10,sell
203709.01,0.00042568,0,2019-09-10,sell
204000.00,0.00123907,0,2019-09-10,sell
204000.00,0.00127703,0,2019-09-10,sell
204000.00,0.00119881,0,2019-09-10,sell
204051.02,0.00002667,0,2019-09-10,sell
202824.75,0.13702692,0,2019-09-10,buy
202824.74,0.02465064,0,2019-09-10,buy
202824.73,0.09782244,0,2019-09-10,buy
202506.05,0.00748631,0,2019-09-10,buy
202810.00,0.00792575,0,2019-09-10,buy
204199.93,0.00108599,0,2019-09-10,sell
204051.02,0.01002333,0,2019-09-10,sell
204224.69,0.01736044,0,2019-09-10,sell
202532.06,0.00120000,0,2019-09-10,buy
204224.09,0.02139317,0,2019-09-10,sell
204223.98,0.00024483,0,2019-09-10,sell
204223.70,0.00425669,0,2019-09-10,sell
204223.30,0.00047546,0,2019-09-10,sell
202706.09,0.00022019,0,2019-09-10,buy
202706.09,0.00204015,0,2019-09-10,buy
204222.88,0.09654625,0,2019-09-10,sell
204222.85,0.05363681,0,2019-09-10,sell
204222.90,0.29051191,0,2019-09-10,sell
204222.82,0.03623493,0,2019-09-10,sell
204222.79,0.00930356,0,2019-09-10,sell
204222.61,0.00978834,0,2019-09-10,sell
204222.48,0.01664851,0,2019-09-10,sell
204222.38,0.03560727,0,2019-09-10,sell
202002.95,0.00510844,3,2019-09-10,buy
202000.02,0.00905110,3,2019-09-10,buy
202000.02,0.00200000,3,2019-09-10,buy
203392.71,0.01154273,3,2019-09-10,sell
203392.70,0.00641263,3,2019-09-10,sell
203392.73,0.04664000,3,2019-09-10,sell
203392.73,0.13206851,3,2019-09-10,sell
202000.02,0.00024915,3,2019-09-10,buy
202000.02,0.00016447,3,2019-09-10,buy
202000.02,0.00012458,3,2019-09-10,buy
203364.12,0.00096871,3,2019-09-10,sell
202000.02,0.00049829,3,2019-09-10,buy
202000.02,0.01352884,3,2019-09-10,buy
202000.02,0.00144125,3,2019-09-10,buy
202000.00,0.02102991,3,2019-09-10,buy
203299.85,0.00049188,3,2019-09-10,sell
203299.62,0.01031090,3,2019-09-10,sell
203299.61,0.00592130,3,2019-09-10,sell
203299.50,0.00481474,3,2019-09-10,sell
203299.49,0.00267486,3,2019-09-10,sell
203299.52,0.02202351,3,2019-09-10,sell
202002.93,0.00172926,3,2019-09-10,buy
203299.52,0.02459425,3,2019-09-10,sell
203298.68,0.00117694,3,2019-09-10,sell
203298.69,0.00211849,3,2019-09-10,sell
203298.71,0.01293684,3,2019-09-10,sell
203298.61,0.00093213,3,2019-09-10,sell
203298.60,0.00051785,3,2019-09-10,sell
203298.63,0.00164891,3,2019-09-10,sell
203298.53,0.00041014,3,2019-09-10,sell
203298.52,0.00022786,3,2019-09-10,sell
203298.55,0.00418333,3,2019-09-10,sell
202102.95,0.00024902,3,2019-09-10,buy
202500.02,0.00193853,3,2019-09-10,buy
203297.76,0.01623235,3,2019-09-10,sell
202500.00,0.00024853,3,2019-09-10,buy
202500.00,0.01527129,3,2019-09-10,buy
202500.00,0.00010526,3,2019-09-10,buy
202500.00,0.00099412,3,2019-09-10,buy
202500.00,0.00258355,3,2019-09-10,buy
202500.00,0.00051537,3,2019-09-10,buy
202500.00,0.00434761,3,2019-09-10,buy
202999.99,0.00024631,3,2019-09-10,sell
202500.00,0.00546764,3,2019-09-10,buy
202999.99,0.00049261,3,2019-09-10,sell
202999.98,0.00049261,3,2019-09-10,sell
202999.99,0.00024631,3,2019-09-10,sell
202999.99,0.00049261,3,2019-09-10,sell
202999.98,0.00049261,3,2019-09-10,sell
202999.97,0.00049261,3,2019-09-10,sell
202999.97,0.00024631,3,2019-09-10,sell
202999.96,0.00024631,3,2019-09-10,sell
202999.96,0.00048757,3,2019-09-10,sell
202999.97,0.00000504,3,2019-09-10,sell
202999.92,0.00024631,3,2019-09-10,sell
202500.00,0.00286254,3,2019-09-10,buy
202999.88,0.00024631,3,2019-09-10,sell
202999.87,0.00020208,3,2019-09-10,sell
202999.84,0.00029053,3,2019-09-10,sell
202899.81,0.00041836,3,2019-09-10,sell
202899.80,0.00023242,3,2019-09-10,sell
202899.83,0.00455120,3,2019-09-10,sell
202500.00,0.00020176,3,2019-09-10,buy
202500.00,0.00396842,3,2019-09-10,buy
202600.00,0.00520652,3,2019-09-10,sell
202899.68,0.00010227,3,2019-09-10,sell
202899.69,0.00018408,3,2019-09-10,sell
202899.71,0.01176472,3,2019-09-10,sell
202500.00,0.00089900,3,2019-09-10,buy
202899.67,0.00049285,3,2019-09-10,sell
202500.00,0.01007095,3,2019-09-10,buy
202500.00,0.02416263,3,2019-09-10,buy
202400.67,0.00883737,3,2019-09-10,buy
202999.99,0.00490641,3,2019-09-10,sell
202999.99,0.00049261,3,2019-09-10,sell
202400.67,0.00796100,3,2019-09-10,buy
202001.14,0.09726118,3,2019-09-10,buy
202001.14,0.00999980,3,2019-09-10,buy
202999.98,0.04187193,3,2019-09-10,sell
202000.00,0.01547576,3,2019-09-10,buy
202001.00,0.00956480,3,2019-09-10,buy
202999.99,0.00035970,3,2019-09-10,sell
202999.99,0.00176704,3,2019-09-10,sell
202000.00,0.00100000,3,2019-09-10,buy
202000.00,0.00388716,3,2019-09-10,buy
202000.00,0.00998413,3,2019-09-10,buy
202000.00,0.03191708,3,2019-09-10,buy
202999.99,0.00985222,3,2019-09-10,sell
202999.99,0.70600324,3,2019-09-10,sell
202500.00,0.03299684,3,2019-09-10,sell
202000.00,0.01720865,3,2019-09-10,buy
202999.98,0.00003448,3,2019-09-10,sell
202000.00,0.01578134,3,2019-09-10,buy
202500.00,0.00020453,3,2019-09-10,sell
202999.99,0.00521474,3,2019-09-10,sell
202000.00,0.01000000,3,2019-09-10,buy
202000.00,0.02526419,3,2019-09-10,buy
202399.99,0.06027668,3,2019-09-10,sell
202499.00,0.00049383,3,2019-09-10,sell
202300.00,0.00694686,3,2019-09-10,sell
201000.00,0.00200000,12,2019-09-10,buy
201200.00,0.00546720,12,2019-09-10,sell
201200.00,0.00025348,12,2019-09-10,sell
201000.00,0.00030700,12,2019-09-10,buy
201000.00,0.00010314,12,2019-09-10,buy
201200.00,0.00269801,12,2019-09-10,sell
201200.00,0.00030075,12,2019-09-10,sell
201000.01,0.00160323,12,2019-09-10,buy
201000.00,0.00620592,12,2019-09-10,buy
201000.00,0.00497513,12,2019-09-10,buy
200900.00,0.00024888,12,2019-09-10,buy
200870.02,0.01244586,12,2019-09-10,buy
200720.00,0.01227770,12,2019-09-10,buy
200720.00,0.01262230,12,2019-09-10,buy
200700.00,0.00073000,12,2019-09-10,buy
200600.00,0.00264770,12,2019-09-10,buy
201200.00,0.00024300,12,2019-09-10,sell
200600.00,0.00024705,12,2019-09-10,buy
201200.00,0.00367068,12,2019-09-10,sell
200503.00,0.00071705,12,2019-09-10,buy
200600.00,0.00209030,12,2019-09-10,buy
200500.80,0.00096888,12,2019-09-10,buy
200500.02,0.00731506,12,2019-09-10,buy
201200.00,0.01988072,12,2019-09-10,sell
201200.00,0.21614172,13,2019-09-10,sell
202149.97,2.25828520,13,2019-09-10,sell
202143.75,0.24393401,13,2019-09-10,sell
202143.72,0.01226105,13,2019-09-10,sell
200511.80,0.00010543,13,2019-09-10,buy
202143.41,0.00019293,13,2019-09-10,sell
200500.02,0.01634674,13,2019-09-10,buy
202124.68,0.02350332,13,2019-09-10,sell
202124.67,0.01305740,13,2019-09-10,sell
202124.70,2.42726483,13,2019-09-10,sell
202077.02,0.00096514,13,2019-09-10,sell
202077.10,0.00176400,13,2019-09-10,sell
202079.95,0.10613870,13,2019-09-10,sell
202058.87,0.04949053,13,2019-09-10,sell
202043.87,0.00024747,13,2019-09-10,sell
201984.78,0.00089582,13,2019-09-10,sell
201987.75,0.00826316,13,2019-09-10,sell
200500.02,0.00972647,13,2019-09-10,buy
200500.69,0.00050000,13,2019-09-10,buy
201904.00,0.00152003,13,2019-09-10,sell
201903.97,0.00768860,13,2019-09-10,sell
200511.91,0.00067000,13,2019-09-10,buy
201868.69,0.00031486,13,2019-09-10,sell
201871.62,0.04426793,13,2019-09-10,sell
201868.68,0.17338004,13,2019-09-10,sell
200500.03,0.00498753,13,2019-09-10,buy
200500.69,0.00160299,13,2019-09-10,buy
200500.02,0.02416336,13,2019-09-10,buy
201859.69,0.00990787,13,2019-09-10,sell
200507.60,0.00109549,13,2019-09-10,buy
200505.00,0.00578995,13,2019-09-10,buy
200507.93,0.00061036,13,2019-09-10,buy
200507.60,0.00107075,13,2019-09-10,buy
200505.00,0.00039012,13,2019-09-10,buy
200507.93,0.00058947,13,2019-09-10,buy
200507.60,0.00071053,13,2019-09-10,buy
201781.49,0.00049559,13,2019-09-10,sell
200505.00,0.00011865,13,2019-09-10,buy
202114.99,0.00011558,13,2019-09-10,sell
200505.00,0.00061914,13,2019-09-10,buy
202032.53,0.01625741,13,2019-09-10,sell
202029.58,0.00169563,13,2019-09-10,sell
202032.55,0.00679547,13,2019-09-10,sell
202011.49,0.00064347,13,2019-09-10,sell
202011.53,0.00120107,13,2019-09-10,sell
202014.45,0.09715831,13,2019-09-10,sell
200550.02,0.01809485,13,2019-09-10,buy
200550.02,0.01809485,13,2019-09-10,buy
200550.00,0.14853112,13,2019-09-10,buy
201972.86,0.00033604,13,2019-09-10,sell
201972.79,0.02342001,13,2019-09-10,sell
201972.98,0.17019690,13,2019-09-10,sell
200550.00,0.00500000,13,2019-09-10,buy
201498.28,0.01488846,13,2019-09-10,sell
200550.01,0.01921400,13,2019-09-10,buy
200550.01,0.01269166,13,2019-09-10,buy
200550.01,0.00193177,13,2019-09-10,buy
200551.00,0.00501889,13,2019-09-10,buy
201100.00,0.00256052,13,2019-09-10,sell
200551.03,0.00393086,13,2019-09-10,buy
200551.03,0.01003777,13,2019-09-10,buy
201316.98,0.00032422,13,2019-09-10,sell
201100.00,0.01484376,13,2019-09-10,sell
201397.40,0.00068784,13,2019-09-10,sell
201400.00,0.00049653,13,2019-09-10,sell
201499.97,0.00832712,13,2019-09-10,sell
201495.00,0.00024815,13,2019-09-10,sell
201500.00,0.01232359,13,2019-09-10,sell
200551.03,0.00244487,13,2019-09-10,buy
200552.00,0.01708000,13,2019-09-10,buy
201497.07,0.00009926,13,2019-09-10,sell
201500.00,0.00049628,13,2019-09-10,sell
200551.03,0.00371870,13,2019-09-10,buy
201500.00,0.01042184,13,2019-09-10,sell
200801.04,0.00802022,13,2019-09-10,buy
201500.00,0.00744417,13,2019-09-10,sell
199000.00,0.00040774,15,2019-09-10,buy
199000.00,0.00050252,15,2019-09-10,buy
199000.00,0.10050252,15,2019-09-10,buy
199000.00,0.02374700,15,2019-09-10,buy
199000.00,0.00050252,15,2019-09-10,buy
199000.00,0.00502513,15,2019-09-10,buy
199000.00,0.00334674,15,2019-09-10,buy
199000.00,0.01256282,15,2019-09-10,buy
199000.00,0.00251257,15,2019-09-10,buy
199000.00,0.02545367,15,2019-09-10,buy
199000.00,0.00024121,15,2019-09-10,buy
198974.00,0.00050258,15,2019-09-10,buy
198944.00,0.00055292,15,2019-09-10,buy
198900.00,0.00251383,15,2019-09-10,buy
198900.00,0.00260735,15,2019-09-10,buy
198874.00,0.00060340,15,2019-09-10,buy
198844.00,0.00065378,15,2019-09-10,buy
198822.60,2.57266801,15,2019-09-10,buy
198774.00,0.00070432,15,2019-09-10,buy
198744.00,0.00075474,15,2019-09-10,buy
198706.59,0.00008556,15,2019-09-10,buy
198674.00,0.00080534,15,2019-09-10,buy
198650.00,0.00201360,15,2019-09-10,buy
198644.00,0.00085581,15,2019-09-10,buy
198600.00,0.00503525,15,2019-09-10,buy
198574.00,0.00090647,15,2019-09-10,buy
198544.00,0.00095697,15,2019-09-10,buy
198501.00,0.00755664,15,2019-09-10,buy
198500.00,0.36453401,15,2019-09-10,buy
198500.00,0.05037784,15,2019-09-10,buy
198500.00,0.01324938,15,2019-09-10,buy
198500.00,0.00377834,15,2019-09-10,buy
198474.00,0.00100769,15,2019-09-10,buy
198470.00,0.01007709,15,2019-09-10,buy
198469.56,1.47781545,15,2019-09-10,buy
198469.56,0.00482919,15,2019-09-10,sell
198469.56,0.74091347,15,2019-09-10,sell
198469.56,0.27111443,15,2019-09-10,sell
198469.56,0.00991326,15,2019-09-10,sell
198471.23,0.00010143,15,2019-09-10,buy
199000.00,0.00293729,15,2019-09-10,sell
198501.23,0.02000000,15,2019-09-10,sell
200000.93,0.02300000,15,2019-09-10,sell
200730.89,0.00226501,15,2019-09-10,sell
200730.90,0.00407701,15,2019-09-10,sell
200730.92,0.08256025,15,2019-09-10,sell
198486.41,0.00005072,15,2019-09-10,buy
200722.01,0.00099660,15,2019-09-10,sell
200722.02,0.00179388,15,2019-09-10,sell
200722.04,0.01464657,15,2019-09-10,sell
200692.60,0.00124569,15,2019-09-10,sell
200692.57,0.00014948,15,2019-09-10,sell
198537.78,0.00905300,15,2019-09-10,buy
198541.45,0.03259998,15,2019-09-10,buy
198476.32,0.00087061,15,2019-09-10,buy
198476.32,0.00087061,15,2019-09-10,buy
198476.25,0.00025192,15,2019-09-10,buy
198475.00,0.00100686,15,2019-09-10,buy
198475.07,0.00087413,15,2019-09-10,buy
198475.07,0.00087413,15,2019-09-10,buy
198475.05,0.04775174,15,2019-09-10,buy
199985.15,0.00110581,15,2019-09-10,sell
199982.29,0.00047095,15,2019-09-10,sell
199985.16,0.00199046,15,2019-09-10,sell
199985.18,0.00160278,15,2019-09-10,sell
199979.30,0.07000725,15,2019-09-10,sell
199979.26,0.00054831,15,2019-09-10,sell
