price,volume,hour,date,side
135300.99,0.01500000,21,2019-12-14,buy
135300.99,0.00074393,21,2019-12-14,buy
135300.99,0.01950329,21,2019-12-14,buy
135300.99,0.02324398,21,2019-12-14,buy
135300.99,0.19122193,21,2019-12-14,buy
135300.99,0.06604574,21,2019-12-14,buy
135300.99,0.07155971,21,2019-12-14,buy
135300.99,0.02878839,21,2019-12-14,buy
135300.99,0.00091391,21,2019-12-14,buy
135300.99,0.03576462,21,2019-12-14,buy
135300.99,0.19182916,21,2019-12-14,buy
135300.99,0.00047480,21,2019-12-14,buy
134927.65,0.09876610,21,2019-12-14,buy
134924.56,0.55472668,21,2019-12-14,buy
134927.66,0.00200000,21,2019-12-14,buy
134828.99,0.05956814,21,2019-12-14,buy
135480.20,0.11809844,21,2019-12-14,sell
135300.99,0.00073171,21,2019-12-14,buy
134856.75,0.01187110,21,2019-12-14,buy
135320.00,0.00147798,21,2019-12-14,sell
135320.00,0.00369495,21,2019-12-14,sell
135320.00,0.00074698,21,2019-12-14,sell
135500.00,0.10978073,21,2019-12-14,buy
135500.00,0.00017340,21,2019-12-14,buy
134928.40,0.00007015,21,2019-12-14,buy
135517.00,0.02659445,21,2019-12-14,sell
135517.00,0.00030845,21,2019-12-14,sell
135003.48,0.00087166,21,2019-12-14,buy
135067.08,0.00096249,21,2019-12-14,buy
135152.69,0.00888697,21,2019-12-14,buy
135158.43,0.00521300,21,2019-12-14,buy
135500.00,0.00072784,21,2019-12-14,sell
135517.00,0.00148858,21,2019-12-14,sell
135179.16,0.00041377,21,2019-12-14,buy
135517.00,0.00160852,21,2019-12-14,sell
135518.00,0.03000000,21,2019-12-14,sell
135519.00,0.03000000,21,2019-12-14,sell
135520.00,0.00480304,21,2019-12-14,sell
135520.00,0.00519696,21,2019-12-14,sell
135666.98,0.01544744,21,2019-12-14,sell
135660.71,0.01898892,21,2019-12-14,sell
135645.67,0.00147443,21,2019-12-14,sell
135614.24,0.73738569,21,2019-12-14,sell
135201.37,0.00595582,21,2019-12-14,buy
135576.00,0.00221278,21,2019-12-14,sell
135250.00,0.01865002,21,2019-12-14,buy
135300.00,0.00443459,21,2019-12-14,sell
135571.00,0.01032669,21,2019-12-14,sell
135300.00,0.02963569,21,2019-12-14,sell
135567.00,0.01025538,21,2019-12-14,sell
135567.00,0.00737643,21,2019-12-14,sell
135250.00,0.00004869,21,2019-12-14,buy
135201.02,0.00022189,21,2019-12-14,buy
135201.01,0.00909110,21,2019-12-14,buy
135567.00,0.00214875,21,2019-12-14,sell
135567.00,0.00302433,21,2019-12-14,sell
135220.00,0.00022078,21,2019-12-14,buy
135220.00,0.00475524,21,2019-12-14,buy
135220.00,0.00982209,21,2019-12-14,buy
135201.00,0.13313511,21,2019-12-14,buy
135011.05,0.51716170,21,2019-12-14,buy
135015.67,0.16539517,21,2019-12-14,buy
135567.00,0.00147529,21,2019-12-14,sell
135220.01,0.00014790,21,2019-12-14,buy
135214.87,0.00421553,21,2019-12-14,sell
135567.00,0.00571982,21,2019-12-14,sell
135568.00,0.02179407,21,2019-12-14,sell
135568.00,0.00073764,21,2019-12-14,sell
