price,volume,hour,date,side
210480.00,0.01619543,3,2019-09-03,sell
210500.07,0.00119131,3,2019-09-03,sell
210503.06,0.00106609,3,2019-09-03,sell
210989.57,0.04800638,3,2019-09-03,sell
210503.06,0.00076139,3,2019-09-03,sell
209130.09,0.02351065,3,2019-09-03,buy
210989.30,0.00004740,3,2019-09-03,sell
209303.03,0.00032239,3,2019-09-03,buy
210989.02,0.00002370,3,2019-09-03,sell
210988.91,0.00002370,3,2019-09-03,sell
209612.12,0.00015847,3,2019-09-03,buy
210988.76,0.00002370,3,2019-09-03,sell
210988.75,0.00238401,3,2019-09-03,sell
209618.18,0.00014406,3,2019-09-03,buy
209618.20,0.00246390,3,2019-09-03,buy
209624.24,0.09147058,3,2019-09-03,buy
209205.64,0.00458880,3,2019-09-03,buy
210988.36,0.00002370,3,2019-09-03,sell
210988.18,0.00426322,3,2019-09-03,sell
210988.02,0.00094792,3,2019-09-03,sell
209315.97,0.00014427,3,2019-09-03,buy
210987.64,0.00023224,3,2019-09-03,sell
210987.61,0.00002370,3,2019-09-03,sell
210987.67,0.00015641,3,2019-09-03,sell
209349.08,0.03594051,3,2019-09-03,buy
210987.27,0.00002370,3,2019-09-03,sell
210986.92,0.00078218,3,2019-09-03,sell
210986.92,0.00170797,3,2019-09-03,sell
209500.05,0.00621888,3,2019-09-03,buy
210960.00,0.00002370,3,2019-09-03,sell
209510.86,0.00014413,3,2019-09-03,buy
210960.00,0.00002370,3,2019-09-03,sell
210960.00,0.01922165,3,2019-09-03,sell
210960.00,0.00237012,3,2019-09-03,sell
209602.62,0.00013160,3,2019-09-03,buy
210960.00,0.00002370,3,2019-09-03,sell
210960.00,0.00336634,3,2019-09-03,sell
210960.00,0.01705886,3,2019-09-03,buy
210899.83,0.00023708,3,2019-09-03,sell
209660.50,0.08835430,3,2019-09-03,buy
209650.02,0.09160685,3,2019-09-03,buy
210899.71,0.00002371,3,2019-09-03,sell
209702.64,0.09156247,3,2019-09-03,buy
209700.02,0.00014400,3,2019-09-03,buy
210899.37,0.00002371,3,2019-09-03,sell
209950.00,0.00047943,3,2019-09-03,buy
210887.43,0.00004742,3,2019-09-03,sell
209950.00,0.00366918,3,2019-09-03,buy
209402.60,0.00682997,3,2019-09-03,buy
209900.00,0.00719302,3,2019-09-03,buy
210887.15,0.00002371,3,2019-09-03,sell
210887.18,0.09957931,3,2019-09-03,sell
209900.00,0.00200000,3,2019-09-03,buy
209900.00,0.00075447,3,2019-09-03,buy
209950.00,0.00002382,3,2019-09-03,sell
209949.91,0.00571565,3,2019-09-03,sell
209949.64,0.09526094,3,2019-09-03,sell
209949.64,0.00364869,3,2019-09-03,sell
209949.61,0.04763048,3,2019-09-03,sell
209250.00,0.00192410,3,2019-09-03,buy
209949.53,0.00002382,3,2019-09-03,sell
209949.41,0.00036133,3,2019-09-03,sell
209948.95,0.00047631,3,2019-09-03,sell
209250.00,0.01083508,3,2019-09-03,buy
209000.00,0.07845430,3,2019-09-03,buy
209250.00,0.08282028,3,2019-09-03,buy
209200.00,0.00095603,3,2019-09-03,buy
209947.83,0.00002382,3,2019-09-03,sell
209250.00,0.00023895,3,2019-09-03,sell
209250.00,0.00002389,3,2019-09-03,sell
209000.00,0.00070979,3,2019-09-03,buy
208900.00,0.00503927,3,2019-09-03,buy
209000.00,0.00217563,3,2019-09-03,buy
208900.00,0.01889563,3,2019-09-03,buy
208710.00,0.02395669,3,2019-09-03,buy
208800.01,0.01316293,3,2019-09-03,buy
208650.00,0.01437815,3,2019-09-03,buy
208280.00,0.00386231,3,2019-09-03,buy
208900.00,0.07785544,3,2019-09-03,buy
207403.01,0.00964307,9,2019-09-03,buy
207655.00,0.00067381,9,2019-09-03,buy
207400.00,0.00434417,9,2019-09-03,buy
207100.03,0.02986400,9,2019-09-03,buy
207100.02,0.05240178,9,2019-09-03,buy
208490.58,0.00503917,9,2019-09-03,sell
208490.49,0.00023982,9,2019-09-03,sell
208489.79,0.00010552,9,2019-09-03,sell
207100.00,0.01000000,9,2019-09-03,buy
208483.27,0.00048388,9,2019-09-03,sell
207100.00,0.00970000,9,2019-09-03,buy
207100.00,0.00970000,9,2019-09-03,buy
207000.01,0.00563127,9,2019-09-03,buy
207100.00,0.01888586,9,2019-09-03,buy
207096.99,0.00048287,9,2019-09-03,buy
208477.18,0.00010874,10,2019-09-03,sell
208500.00,0.00383694,10,2019-09-03,sell
208474.32,0.20028271,10,2019-09-03,sell
208474.33,0.36050889,10,2019-09-03,sell
208514.98,0.01878233,10,2019-09-03,sell
208514.98,0.03294407,10,2019-09-03,sell
209547.29,0.06126757,10,2019-09-03,sell
209549.89,0.03614559,10,2019-09-03,sell
208474.28,0.04796755,10,2019-09-03,sell
208473.30,0.00287807,10,2019-09-03,sell
207010.50,0.01000000,10,2019-09-03,buy
209489.55,0.00111378,10,2019-09-03,sell
209492.53,0.04964852,10,2019-09-03,sell
207165.63,0.04253789,10,2019-09-03,buy
207034.12,0.01215431,10,2019-09-03,buy
207089.37,0.01469257,10,2019-09-03,buy
207089.37,0.00732317,10,2019-09-03,buy
207052.62,0.00728478,10,2019-09-03,buy
207078.85,0.04440000,10,2019-09-03,buy
207162.89,0.10026668,10,2019-09-03,buy
207162.90,0.04632000,10,2019-09-03,buy
207176.03,0.01154639,10,2019-09-03,buy
207178.61,0.00819564,10,2019-09-03,buy
207178.72,0.15605938,10,2019-09-03,buy
207178.72,0.92431986,10,2019-09-03,buy
207181.30,0.00802381,10,2019-09-03,buy
207075.30,0.00003520,10,2019-09-03,buy
208718.89,0.00629856,10,2019-09-03,sell
208718.97,0.00807484,10,2019-09-03,sell
207127.98,0.00110504,10,2019-09-03,buy
207203.38,0.15290216,11,2019-09-03,buy
207219.18,0.04620000,11,2019-09-03,buy
207216.55,0.36692034,11,2019-09-03,buy
207219.17,0.00299276,11,2019-09-03,buy
208906.63,0.00143605,11,2019-09-03,sell
207263.45,0.00002429,11,2019-09-03,buy
207277.22,0.00597838,11,2019-09-03,buy
207275.98,0.00674534,11,2019-09-03,buy
207307.65,0.00541043,11,2019-09-03,buy
207307.24,0.00744216,11,2019-09-03,buy
209190.97,0.00232821,11,2019-09-03,sell
207412.04,0.03397508,11,2019-09-03,buy
207618.07,0.02424059,11,2019-09-03,buy
208996.96,0.00161682,11,2019-09-03,sell
207705.00,0.00680389,11,2019-09-03,buy
207707.60,0.00037853,11,2019-09-03,buy
207850.00,0.00240559,11,2019-09-03,buy
208696.97,0.00023958,11,2019-09-03,sell
207705.01,0.04628000,11,2019-09-03,buy
207705.00,0.01726872,11,2019-09-03,buy
207502.60,0.00095980,11,2019-09-03,buy
207715.10,0.01100000,11,2019-09-03,buy
208490.00,0.01141048,11,2019-09-03,sell
208486.99,0.00297874,11,2019-09-03,sell
208205.10,0.01020243,11,2019-09-03,sell
208486.99,0.00002660,11,2019-09-03,sell
209249.97,0.00011603,11,2019-09-03,sell
207816.07,0.01300000,11,2019-09-03,buy
207822.23,0.00571693,11,2019-09-03,buy
208500.00,0.00479616,11,2019-09-03,sell
209250.00,0.00406533,11,2019-09-03,sell
208500.00,1.55952125,11,2019-09-03,sell
209249.97,0.00095579,11,2019-09-03,sell
209249.97,0.00002389,11,2019-09-03,sell
209249.97,0.01920700,11,2019-09-03,sell
209249.97,0.00190700,11,2019-09-03,sell
209249.97,0.34214882,11,2019-09-03,sell
209249.98,0.00280388,11,2019-09-03,sell
209250.00,0.00190700,11,2019-09-03,sell
